Signal,Feature,ROC_AUC,Bootstrap_Mean,CI_Lower,CI_Upper,Bootstrap_STD
Agreement Dice,agreement_dice,0.9231149004859788,0.9227772927970463,0.9023424766627537,0.9423934945375828,0.010259147159028858
Agreement IoU,agreement_iou,0.9231149004859788,0.9230692623535481,0.9024413176052912,0.941635786518611,0.010072315696298765
Centroid Distance,centroid_distance,0.9165185547713496,0.9166093510046881,0.8933285187297239,0.9379858776863658,0.011530124598299345
Boundary Agreement,boundary_agreement,0.9147777033640719,0.9150735067068458,0.8914771847677581,0.9362583023039768,0.01170192603416774
Area Ratio,area_ratio,0.38128509607954253,0.38091685674894893,0.3250261552002801,0.4395104476839071,0.02923144102337878
