Failure_Threshold,Signal,Feature,ROC_AUC,Best_Threshold,Accuracy,Precision,Recall,F1
0.3,Boundary Agreement,boundary_agreement,0.9408075964838057,-0.1092032967031092,0.919869174161897,0.7074074074074074,0.9095238095238095,0.7958333333333333
0.3,Centroid Distance,centroid_distance,0.9406407182813895,0.1744418508327945,0.9264104660670482,0.7290076335877863,0.9095238095238095,0.809322033898305
0.3,Agreement Dice,agreement_dice,0.9401635876463122,-0.3010452961670375,0.9264104660670482,0.7290076335877863,0.9095238095238095,0.809322033898305
0.3,Agreement IoU,agreement_iou,0.9401635876463122,-0.1771944216569506,0.9264104660670482,0.7290076335877863,0.9095238095238095,0.809322033898305
0.3,Area Ratio,area_ratio,0.3364664128237672,-0.2435338959978219,0.821749795584628,0.46875,0.2857142857142857,0.35502958579881655
0.4,Agreement Dice,agreement_dice,0.9366646866646867,-0.7773574945434084,0.910874897792314,0.6928327645051194,0.9144144144144144,0.7883495145631068
0.4,Agreement IoU,agreement_iou,0.9366646866646867,-0.6358011365334522,0.910874897792314,0.6928327645051194,0.9144144144144144,0.7883495145631068
0.4,Boundary Agreement,boundary_agreement,0.9317911817911817,-0.1531393568123562,0.9084219133278822,0.6883561643835616,0.9054054054054054,0.7821011673151751
0.4,Centroid Distance,centroid_distance,0.9312264312264312,0.1744418508327945,0.9264104660670482,0.7519083969465649,0.8873873873873874,0.8140495867768595
0.4,Area Ratio,area_ratio,0.3615573615573615,-0.6553799360490811,0.8045789043336059,0.4472049689440994,0.32432432432432434,0.37597911227154046
0.5,Agreement Dice,agreement_dice,0.9231149004859788,-0.7773574945434084,0.9076042518397384,0.7098976109215017,0.8813559322033898,0.7863894139886578
0.5,Agreement IoU,agreement_iou,0.9231149004859788,-0.6358011365334522,0.9076042518397384,0.7098976109215017,0.8813559322033898,0.7863894139886578
0.5,Centroid Distance,centroid_distance,0.9165185547713496,0.0538998435317457,0.9059689288634505,0.7079037800687286,0.8728813559322034,0.7817836812144212
0.5,Boundary Agreement,boundary_agreement,0.9147777033640719,-0.1531393568123562,0.9035159443990188,0.702054794520548,0.8686440677966102,0.7765151515151515
0.5,Area Ratio,area_ratio,0.38128509607954253,-0.6553799360490811,0.8013082583810303,0.4782608695652174,0.326271186440678,0.3879093198992443
0.6,Agreement Dice,agreement_dice,0.9173209366391185,-0.7773574945434084,0.9100572363041701,0.7474402730375427,0.8588235294117647,0.7992700729927007
0.6,Agreement IoU,agreement_iou,0.9173209366391185,-0.6358011365334522,0.9100572363041701,0.7474402730375427,0.8588235294117647,0.7992700729927007
0.6,Centroid Distance,centroid_distance,0.9081530546102738,0.0538998435317457,0.9084219133278822,0.7457044673539519,0.8509803921568627,0.7948717948717948
0.6,Boundary Agreement,boundary_agreement,0.9064799060119917,-0.1349765258208041,0.9076042518397384,0.75177304964539,0.8313725490196079,0.7895716945996276
0.6,Area Ratio,area_ratio,0.40758588559390696,-0.6553799360490811,0.8021259198691741,0.5403726708074534,0.3411764705882353,0.4182692307692308
0.7,Agreement Dice,agreement_dice,0.9105238411535103,-0.7773574945434084,0.9010629599345871,0.7815699658703071,0.8006993006993007,0.7910189982728842
0.7,Agreement IoU,agreement_iou,0.9105238411535103,-0.6358011365334522,0.9010629599345871,0.7815699658703071,0.8006993006993007,0.7910189982728842
0.7,Boundary Agreement,boundary_agreement,0.8971498085692323,-0.1349765258208041,0.8986099754701553,0.7872340425531915,0.7762237762237763,0.7816901408450704
0.7,Centroid Distance,centroid_distance,0.8970453239396675,0.0538998435317457,0.8994276369582993,0.7800687285223368,0.7937062937062938,0.7868284228769498
0.7,Area Ratio,area_ratio,0.44517542222985124,-0.7258818529536761,0.7890433360588717,0.5813953488372093,0.34965034965034963,0.4366812227074236
