Signal,Feature,PR_AUC,Best_Threshold,Precision,Recall,F1
Centroid Distance,centroid_distance,0.716893604396678,0.1744418508327945,0.7633587786259542,0.847457627118644,0.8032128514051239
Agreement Dice,agreement_dice,0.7161748885401986,-0.3304765422976244,0.7604562737642585,0.847457627118644,0.8016032064123271
Agreement IoU,agreement_iou,0.7161748885401986,-0.1979466300835518,0.7604562737642585,0.847457627118644,0.8016032064123271
Boundary Agreement,boundary_agreement,0.713249289204909,-0.0464576074326776,0.7576923076923077,0.8347457627118644,0.7943548387091786
Area Ratio,area_ratio,0.2954474753354504,-0.6553799360490811,0.4782608695652174,0.326271186440678,0.38790931989876226
