Signal,Feature,ROC_AUC,Threshold,Accuracy,Precision,Recall,F1
Agreement Dice,agreement_dice,0.9231149004859788,-0.7773574945434084,0.9076042518397384,0.7098976109215017,0.8813559322033898,0.7863894139886578
Agreement IoU,agreement_iou,0.9231149004859788,-0.6358011365334522,0.9076042518397384,0.7098976109215017,0.8813559322033898,0.7863894139886578
Centroid Distance,centroid_distance,0.9165185547713496,0.0538998435317457,0.9059689288634505,0.7079037800687286,0.8728813559322034,0.7817836812144212
Boundary Agreement,boundary_agreement,0.9147777033640719,-0.1531393568123562,0.9035159443990188,0.702054794520548,0.8686440677966102,0.7765151515151515
Area Ratio,area_ratio,0.38128509607954253,-0.6553799360490811,0.8013082583810303,0.4782608695652174,0.326271186440678,0.3879093198992443
